Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
NLP Data Scientist TS/SCI with Poly $100K- $190k + 15% 401k,"Millennial Software
",United States,$100K - $190K (Employer est.),5.0,"Title: NLP Data Scientist (TS/SCI with Poly)

Location: Tyson's Corner, VA

Base Salary: $100,000.00 - $190,000.00 per year
15% Employer 401k contribution (Regardless of Employee Contribution)
PTO: 30 days annual total
Stock Option
$3000 annual training budget
Medical/Dental/Vision: company funded, cash incentives if you waive
Flexible work schedule
Referral bonuses
Paid Paternal and Maternal Leave

Job Description:

Clearance Level Must Currently Possess: Top Secret SCI + Polygraph

Millennial Software is looking for a self-starting, team-oriented Data Scientist to join our dynamic team in supporting a Government customer. Highly visible position - Provide data science solutions to a variety of high-profile requirements as the continued success will require the creation of increasingly more sophisticated application of AI/ML capabilities to quickly identify actionable information. Demonstrated experience as a Data Scientist.

Mandatory Skills:

Demonstrated experience with machine learning methods, techniques and algorithms for natural language processing (NLP), computer vision (CV), and deep learning/deep neural networks.
Demonstrated experience in handling imperfection in data.
Demonstrated experience with statistical programming languages such as R, SQL, and Python.
Demonstrated experience with data visualization tools such as Tableau.
Demonstrated experience in documenting data science work, participating in peer reviews and adhering to data science tradecraft best practices.
Demonstrated experience with data science tools.
Demonstrated experience with a problem-solving aptitude

Job Type: Full-time

Pay: $100,000.00 - $190,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Tysons Corner, VA: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Linux: 1 year (Preferred)
Python: 1 year (Required)
R: 1 year (Preferred)
Machine learning: 1 year (Preferred)
Tableau: 1 year (Preferred)

License/Certification:

Full Scope Polygraph (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",2019,Aerospace & Defense,Unknown / Non-Applicable,Aerospace & Defense,1 to 50 Employees,Company - Private,True
Data Scientist,FullScope,"Suitland, MD",$150K (Employer est.),-1.0,"We are seeking a Data Scientist to join our team and support ONI project initiatives. The successful candidate will be responsible for applying qualitative and quantitative methods to analyze and resolve analytical issues, as well as exploring opportunities for data acquisition and new uses for existing data. You will collaborate with government points of contact (POC) to perform data analyses, identify trends and patterns, and test hypotheses.

Responsibilities:

Apply qualitative and quantitative methods to analyze and resolve analytical issues in support of ONI project initiatives.
Research and identify opportunities for data acquisition and new data uses.
Collaborate with government POCs to perform exploratory and targeted data analyses, test hypotheses, and mine structured, semi-structured, and unstructured data.
Design and develop scalable tools, dashboards, and visualizations to enhance data understanding and consumption.
Identify data needs and employ appropriate methods for data gathering, extraction, integration, preparation, quality, and governance from internal and external sources to meet customer expectations.
Utilize various programming languages, analytic techniques, and tools to develop statistical algorithms and models, automate data conditioning and analysis, support machine learning, and generate visualizations for predictive and prescriptive modeling.
Establish positive customer relationships to gather input and feedback for addressing analytical issues and advanced reporting needs.
Communicate status updates and results through reports, presentations, and other means as designated by government POCs.
Collaborate with other analytic professionals to continuously enhance data science and analytics capabilities relevant to N3 initiatives, ONI, and subordinate commands' mission areas.
Attend community GEOINT-related conferences and meetings, and if required, travel to ashore and afloat naval and joint service commands, GEOINT-related trade shows, and conferences to gain insights into the latest military and civil sector GEOINT techniques and technologies under development.

Qualifications:

Bachelor's degree from an accredited institution in a quantitative or technical field of study, such as Statistics, Mathematics, Computer Science, Physical Science, Engineering, or Geographic Information Systems (GIS).
Three years of practical work experience integrating data mining, conditioning, and analysis, including the use of current data analysis software and methods.
Proficiency in two or more of the following software: ESRI ArcGIS, MATLAB, SAS, SPSS Statistics, Hive/Hadoop.
Three years of practical experience in computer programming using one or more of the following: Python, JavaScript, Interactive Data Language (IDL), R, C++.
One-year practical work experience with geospatial data and/or imagery data.
One-year practical work experience with database management systems and query tools using one or more of the following: GeoDB, SQL, MS Access, MS Excel.
Two years of experience writing technical analysis reports.
Demonstrated problem-solving skills and effective presentation abilities, including experience presenting at professional or academic conferences.

Join our team and contribute your expertise to make a significant impact on ONI project initiatives. Apply now to be part of a dynamic environment that values innovation and collaboration in the field of data science.

Job Type: Full-time

Pay: Up to $150,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance

Compensation package:

Holiday pay
Overtime pay
Yearly pay

Experience level:

3 years
4 years
5 years
6 years
7 years
8 years
9 years

Schedule:

8 hour shift
Monday to Friday
No weekends

Application Question(s):

Do you have a TS/SCI security clearance?

Security clearance:

Top Secret (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Cyber Data Scientist,"PL Consulting, Inc.","Chantilly, VA",,-1.0,"What is this job?

The program provides Systems Engineering and Technical Assistance (SETA) core and non-core support in the areas of Cyber Security and Management to improve the Information Assurance (IA) posture of a National customer. The contracts Core Capabilities are: IA Management, Federal Information Security Management Act (FISMA) coordination and reporting, Risk Management Framework (RMF) application, IA compliance measurements and metrics, Assessment and Authorization (A&A), Vulnerability Management, and Cyber Defense support.

To Do's:

The Cyber Data Science Engineer provides support to the customer in the area of Cyber Security. Daily Tasks include, but are not limited to:

Utilize analytical, statistical, and programming skills to collect, analyze, and interpret large cybersecurity data sets
Develop data-driven solutions
Analyze data sets found in the customer's vulnerability scanning, authorization, and configuration management tools
Import and transform data into usable sets for analysis tools used by the customer (e.g., Tableau)
Provide analysis and graphical presentations of collected metrics for IA compliance status reporting
Support legacy visualization and situational awareness tools based on Microsoft Excel
Collaborate with the Heat Map team to investigate options to simplify and automate the current Heat Map
Collaborate with RMG teams to develop means to integrate, automate, and provide dynamic visualization capabilities for risk management efforts

Must Have's:

Current U.S. Government Top Secret clearance with SCI eligibility.
Favorably adjudicated Polygraph.
Bachelor of Science Degree in Science, Technology, Engineering, or Mathematics (STEM) or an advanced IA certification (i.e., CISSP or CASP)
DoD 8570 certification in IAT or IAM
Deep understanding of statistics and analysis
Skilled in artificial intelligence and machine learning (e.g., SageMaker)
Ability to code in multiple languages, including Python
Knowledge of databases, data structures, and data architectures
Excellent communications skills – both verbal and non-verbal
Office Automation Skills – MS Office, MS Project, Visio
Self-starter requiring limited direction and supervision
Strong attention to detail
Ability to work in a team environment
Experience with data visualization tools (e.g., Tableau, Infogram, Chartbloks)
Experience with data transformation (structured data format/schema transformation) using common programming tools (e.g., Python, JSON, etc.)
Experience applying statistical analysis to large data sets

Extras we'd like you to have:

Experience briefing senior customer personnel
Ability to organize and prioritize numerous customer requests in a fast-paced deadline driven environment
Familiarity with Amazon Web Services (AWS)
Familiarity with customer's IA processes
Experience with ServiceNow and Splunk
Experience supporting IC or DoD in the Cyber Security Domain
Familiarity with the RMF process
Experience with Relational Database Management System (RDMS)
Experience with Apache Hadoop and the Hadoop Distributed File System
Experience with Amazon Elastic MapReduce (EMR) and SageMaker
Experience with Machine Learning or Artificial Intelligence

Job Type: Full-time

Pay: $180,000.00 - $195,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance

Compensation package:

Signing bonus

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

COVID-19 considerations:
We follow all government building regulations.

Education:

Bachelor's (Required)

Experience:

JSON: 4 years (Preferred)
ServiceNow and Splunk: 1 year (Preferred)
AWS: 1 year (Preferred)
artifical intelligence and machine learning (E.g. SageMaker): 4 years (Required)
Python: 4 years (Required)
Data visualization tools (Tableau, Infogram, Chartbloks): 4 years (Required)

License/Certification:

Advanced IA certification (i.e., CISSP or CASP) (Required)
current favorably adjudicated Polygraph (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Data Scientist 3,"Skaggs Consulting, Inc.",United States,$200K (Employer est.),-1.0,"Work for a Veteran-Owned company with Strong Core Values, and Committed to Excellence Through Mutual Respect!

Founded in November 2012 by Tom Skaggs, Jr., Skaggs Consulting, Inc. is a proud Veteran- Owned, and mostly veteran staffed, small business that provides crucial services for the Department of Defense (DoD) and Intelligence Community (IC). At Skaggs Consulting, Inc. our number one priority is exceeding the expectations of our customers. As a Veteran-Owned business, we know the sacrifices made by those who serve, or have served our country. We proudly honor prior, current, and retired Military and DoD civilians.

Very Competitive Salary: Up to $200,000 per year

GREAT BENEFITS:

401k
Health, Dental & Vision Insurance
HSA (Health Savings Account)
Short-Term Disability & AD&D Insurance
Offer company paid Life Insurance & supplementary Life Insurance available
Paid Time Off
Paid Holidays
Tuition Reimbursement
Flexible schedule
Professional Development Assistance
Referral Program

Clearance Required:

MUST HAVE ACTIVE - TS/SCI with Full Scope Polygraph

Required Qualification:

⚠ Degree must be in Engineering Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science.

A Bachelor’s degree and 10 years of relevant experience, OR;
An Associate’s degree plus 12 years of relevant experience may be considered for individuals with in-depth experience that clearly relate to the position.

Other degrees might be considered under conditions detailed as per below:

A degree in related field such as Computer Information Systems, Engineering, OR;
A degree in the physical/hard sciences such as physics, chemistry, biology, astronomy, OR;
A degree in other science disciplines with a substantial computational component that is behavioral, social and life;

may be considered if it includes a concentration of coursework (typically 5 or more courses) in the areas of:

Advanced mathematics (typically 300 level or higher; such as linear algebra, probability and statistics, machine learning).
Computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence).

College-level Algebra or other math courses intended to meet a basic college level requirement, or upper-level math courses designated as elementary or basic do not apply.

A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.

Required Experience:

Must have experience as a data scientist working to support a single or multiple domain area, and/or software engineering. In addition, some experience in more than three of the areas listed below is strongly preferred:

Designing/implementing machine learning,
Data science,
Advanced analytical algorithms,
Programming (skill in at least one high-level language (e.g., Python) and skill in at least one mid-level language (e.g., C))
Data mining,
Advanced statistical analysis (e.g., statistical foundations of machine learning, statistical approaches to missing data, time series)
Advanced mathematical foundations (e.g., numerical methods, graph theory),
Artificial intelligence, workflow and reproducibility,
Data management and curation,
Data modeling and assessment (e.g., model selection, evaluation, and sensitivity analysis).

Desired Skills and Competencies for this position:

Employ some combination (2 or more) of the following areas:

1. Foundations (Mathematical, Computational, Statistical)

2. Data Processing (Data management and curation, data description and visualization, workflow and reproducibility)

3. Modeling, Inference, and Prediction (Data modeling and assessment, domain-specific considerations)

Devise strategies for extracting meaning and value from large datasets.
Make and communicate principled conclusions from data using elements of mathematics, statistics, computer science, and application specific knowledge.
Translate practical mission needs and analytic questions related to large datasets into technical requirements and, conversely, assist others with drawing appropriate conclusions from the analysis of such data.
Effectively communicate complex technical information to non-technical audiences.
Make informed recommendations regarding competing technical solutions by maintaining awareness of the constantly shifting NSA/CSS collection, processing, storage and analytic capabilities and limitations.

Job Type: Full-time

Pay: Up to $200,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Application Question(s):

Are you familiar with running NSA analytics on various datasets?

License/Certification:

/active SCI access (Required)
/do you hold a Full-Scope lifestyle Polygraph (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Senior Data Analyst,"Sancorp Consulting, LLC
","Arlington, VA",$120K (Employer est.),4.0,"Position Summary:

Position Description: Senior Data Analyst

Location: National Capital Region

Work Posture: Hybrid: In-Person & Telework /

Employment Category: Full Time / Exempt

Travel: Travel is not anticipated.

Deployment: No

Drug screening: Yes

Security Clearance/Citizenship: Active Top Secret with Sensitive Compartmented Information (SCI) eligibility / Must be a US Citizen.

Education: Bachelor’s Degree from a nationally accredited university.

Required Experience:

· Four (4) years of experience in database and business intelligence reporting tools.

· Three (3) years’ experience with coding, programing, and scripting languages in SQL, Java, python, R.

· Three (3) years’ experience with visualization tools such as: Tableau, Qlik, SPSS, STATA, Power BI

· Five (5) years of subject matter expertise experience working with intelligence information systems or architecture supporting the combatant commands, services, and the Intelligence Community.

· Three (3) years’ experience data engineering either developing or maintaining databases such as CMIS, DCPDS, ADVANA and other similar tools for DoD.

· Public relations skills including courteousness, tact, and good verbal and writing communications skills. Expert analytical writing skills

· Extensive experience with Microsoft excel: pivot tables, graphs, charts and formulas.

· Visualizing data in databases

]Preferred Experience:

Preferred certifications in Tableau desktop; Scrum Master, AWS Cloud.
Program Management experience in a DoD environment.
OUSD (I&S) experience

Salary: Starting at $120,000. Commensurate on experience, education, and qualifications.

Responsibilities:

SANCORP is seeking a Senior Data Analyst in support of OUSD(I&S). The following are examples of responsibilities:

SENIOR DATA ANALYST: Identify, review, and document functional requirements for Human Capital Information Technology (IT) initiatives to include IT program status reviews and relationship between multiple IT initiatives and associated data for the DoD and the IC.
SENIOR DATA ANALYST: Analyze and visualize data found reports generated from DoD HRIS and DoD/IC databases.
SENIOR DATA ANALYST: Conduct data engineering and prepare data for data analyses to aid in predictive modeling of DCIPS Human capital program performance as required on ad-hoc and routine basis.
SENIOR DATA ANALYST: Conduct data engineering to create needed databases to aid in analysis as well as maintain existing databases such as SAS, CMIS, DCPDS, ADVANA and all other databases that contain data on DCIPS employees or that has data that can impact the DCIPS workforce.
SENIOR DATA ANALYST: Use of business intelligence tools needed to analyze data and produce tailored reports for the Enterprise.
SENIOR DATA ANALYST: Generate and maintain authorization and manning information on Defense Intelligence civilian and military workforce from the Global Force Management (GFM) Defense Intelligence Data Initiative Organizational Server (DIOS). This will happen on a monthly basis. Work with other Contractor to configure database to house DCIPS data based on HCMO needs and Department-wide initiatives.
SENIOR DATA ANALYST: Generate and update tailored reports from the Defense Civilian Personnel Data System (DCPDS) and associated applications, and analyzing and visualizing the data found in the reports. No less than 5 DCPDS tailored reports will be produced per 12 month period. This includes at least one tailored data report for the annual Office of Director of National Intelligence human capital and diversity, equity and inclusion data call.
SENIOR DATA ANALYST: Assist HCMO leadership to tailor at least 1 request for reports from other Defense personnel and manpower systems maintained by the Defense Manpower Data Center.
SENIOR DATA ANALYST: Build and maintain databases and corresponding queries to extract data necessary for leadership data calls such as the Office of Director of National Intelligence’s annual demographic data call
SENIOR DATA ANALYST: Works with other data analyst to visualize data derived from HRIS and other DoD and IC databases to showcase baseline and or trend analysis as well comparative analysis of HCMO data to findings in data reports outside of HCMO and in and across federal service. This will be required at a minimum annually.
SENIOR DATA ANALYST: Down-domain documentation as requested by HCMO from JWICS to lower level domains, this will occur no less than 12 times in a 12 month period.
SENIOR DATA ANALYST: Review IT initiative documentation to: ensure adherence to sound project management principles and practices; assess the efficacy of design and alignment to functional and system requirements, including assessing costs and program risks, and adherence to departmental and IC architectural requirements. This will occur no less than one time in a 12 month period; however, will required as needed by HCMO for any and all IT initiatives within DoD and the IC.
SENIOR DATA ANALYST: Attend demonstrations, participate in testing of IT initiatives, provide feedback on adequacy of test planning, sufficiency of the demonstration/testing to meet the requirements of the test plan to include the degree to which the deliverable meets functional requirements, provides necessary protection of information, and ability of IT initiative to provide planned interface/integration with other systems. This will occur no less than once in a 12 month period.
SENIOR DATA ANALYST: Evaluate ease of use, understandability of the information transactions to be conducted, ease of understanding the information content presented, consistency with standards for system screen/transaction design, and ability to easily retrieve information as advertised/required for functionality. This will occur no less than once in a 12 month period.
SENIOR DATA ANALYST: Conduct basic statistics and develop inferential statistics.

Sancorp Consulting LLC shall, in its discretion, modify or adjust the position to meet Sancorp’s changing needs. This job description is not a contract and may be adjusted as deemed appropriate in Sancorp’s sole discretion.

Sancorp Consulting, LLC, is an SDVOSB and SBA 8(a) company seeking highly motivated and qualified professionals. We offer an attractive salary and benefits package that includes: Medical, Dental, life and Disability Insurance; a matching 401K retirement program; and paid time off including federal holidays. Please visit our website for more information at www.sancorpconsulting.com.

Job Types: Contract, Full-time

Pay: From $120,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid holidays
Paid time off
Vision insurance

Compensation package:

Bonus pay
Performance bonus
Signing bonus

Experience level:

5 years

Schedule:

8 hour shift

Experience:

coding,programing scripting languages in SQL,Java,python,R: 3 years (Required)
database and business intelligence reporting tools.: 4 years (Required)
working with intel information systems or architecture: 5 years (Required)
data engineering either developing or maintaining databases: 3 years (Required)

Security clearance:

Top Secret (Required)

Work Location: Hybrid remote in Arlington, VA 22202",-1,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Contract,True
Data Scientist,"Deloitte
","Rosslyn, VA",$98K - $133K (Glassdoor est.),4.0,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work You'll Do

The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable the client's key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

The Team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Qualifications

Required:

Active Secret security clearance required
Willing to work On-Site
2+ years of experience in data science and/or statistics
2+ years of experience with Python and R
2+ years of experience with data visualization, specifically Tableau
2+ years of experience working in an Agile environment
Bachelor's degree required
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future

Preferred:

Excellent communication skills
Government consulting experience
Elasticsearch experience
NLP experience
SQL experience

#LI-KMC",1850,Accounting & Tax,$10+ billion (USD),Financial Services,10000+ Employees,Company - Private,False
Data Scientist,"EpochGeo
","Washington, DC",$130K - $175K (Employer est.),5.0,"Data Scientist

EpochGeo is looking for a mid level Data Scientist to support one of the most innovative, exciting, and growing offices that is rooted in data rich projects in the national security space. All employees will start in the Washington D.C office but upon request and with customer approval may be allowed to work from Reston VA, Charlottesville VA, or College Park MD.

Big data problems can be overwhelming, inaccessible, and noisy. EpochGeo is a data services firm specializing in supporting the full spectrum data cycle: beginning with scalable data storage and ending in producing impactful analytics. Our developers, analysts, and data scientists have a proven track record developing open-source innovative technology and actionable analytics to inform customers’ data driven decisions.

Are you a data scientist, AI/ML practitioner, mathematician, or similar, who loves to work with data, find patterns in it, and then turn it into actionable intelligence? Are you a data scientist who loves to draw out insights from data, and then work collaboratively with analysts and engineers to turn those insights into automated workflows? If so, please reach out to us at EpochGeo to chat.

Your background likely includes:

4+ years of experience of data engineering, coding in python, SQL, and familiarity with Keras, Tensorflow, or PyTorch frameworks preferred.
Education or experience in Data Science, Economics, or Computer Science.
Familiarity of applying machine learning and statistical methods to complex problem sets that resulted in successful outcomes.
Some experience querying, creating, and integrating data flows from an Elasticsearch instance to include building dashboards and presenting information via Kibana or Plotly Dash.
Familiarity with natural language processing pipelines, large language models/transformers and libraries such as spaCy, NLTK, OpenNLP, or StanfordNLP. Understanding text processing, information extraction (NER and Relationship extraction), and POS Tagging.
A bonus to have military and/or DoD/IC experience in any of the following disciplines: data science, computer vision, target development, geospatial, or statistical analysis.

What you will be doing:

Collaborating with analyst teams to understand their problem sets and identifying workflows for automation and opportunities to integrate machine learning algorithms that can be optimized at scale against big data architectures.
Conceiving and constructing working prototypes and first of their kind proof of concepts to push the art of the possible against real world problem sets.
Creating and fine tuning machine learning hyperparameters or utilizing AutoML solutions to optimize machine learning algorithms to solve customer problem sets.
Having an end user-first attitude and advocating on their behalf in technical exchanges
Working in a dynamic environment with ever evolving requirements.

Bonus:

Master’s degree in Statistics, Data Science, Mathematics, Economics, Geography, or a similar field
Security+ or CISSP

Additional:

Must hold a TS/SCI clearance and be willing to submit for a CI Poly

Benefits Include:

100% health care premiums covered, FSA, HSA
401k: 6% match, immediate vesting
14 holidays: All 11 Federal holidays, day after Thanksgiving, 24 DEC, 31 DEC
PTO: 4 weeks annually
3 week sabbatical every 3 years with the company

Job Type: Full-time

Pay: $130,000.00 - $175,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Bonus opportunities

Ability to commute/relocate:

Washington, DC 20340: Reliably commute or planning to relocate before starting work (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",2020,Aerospace & Defense,Unknown / Non-Applicable,Aerospace & Defense,1 to 50 Employees,Company - Private,True
Data Analyst / Data Scientist,DATSURA,"Washington, DC",$120K - $150K (Employer est.),-1.0,"We are small, technology consulting firm assisting federal financial agencies and corporate clients in data analytics, modeling and application development in the financial domain.

We are looking for a Data Analyst / Data Scientist who will be the vital link between our information technology capacity and our business objectives by supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our software product’s features.

Responsibilities

Define configuration specifications and business analysis requirements
Perform quality assurance
Define reporting and alerting requirements
Own and develop relationship with partners, working with them to optimize and enhance our integration
Help design, document and maintain system processes
Report on common sources of technical issues or questions and make recommendations to product team
Communicate key insights and findings to product team
Constantly be on the lookout for ways to improve monitoring, discover issues and deliver better value to the customer

Requirements

US Citizenship; ability to acquire Public Trust Clearance
Candidate should have a minimum of 5-7 years of working experience in the intersection of finance and technology
Ability to code in Python and familiarity with packages like Pandas, Numpy, Plotly, Dash etc.
AWS QuickSight experience
A degree in IT / Math / Finance
Solid experience in writing SQL queries
SAS / R / AWS development experience is viewed favorably
Exposure to risk management is a nice to have
Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools
Candidates should have a financial background with exposure to one of the asset classes including mortgages, derivatives, equities, bonds etc.
Strong written and verbal communication skills including technical writing skills

Job Type: Full-time

Pay: $120,000.00 - $150,000.00 per year

Benefits:

401(k)
Health insurance
Retirement plan

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Washington, DC 20549: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

Python: 3 years (Required)
AWS QuickSight: 1 year (Required)
Work: 5 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Data Scientist,THE JOSEF GROUP INC,"Annapolis Junction, MD",$180K - $235K (Employer est.),-1.0,"Data Scientist

Annapolis Junction, MD

TS/SCI Clearance with Polygraph Required

What you've got?

Using your quantitative analysis and modeling skills you’ll explore and exploit data sources through the use and creation of scientific processes and technologies to uncover and communicate business insights. Apply advanced consulting skills and extensive technical expertise; full industry knowledge. Develop innovative solutions to complex problems. Work without considerable direction; mentors and may supervise team members. You’ll provide detail-oriented and organized analytics and models using excellent verbal and written communication skills.

What do we expect from you?

Experience with developing requirements and building statistical or simulation models
Experience with scripting or scientific languages and software, including Python, R, MATLAB, @RISK, ARENA, or SAS
Experience with Free Open-Source Software and Commercial Off-The Self Software products in statistics, Monte Carlo or discrete event simulation, extract, transform, and load Extract, Transform, Load processes, and quantitative workflow automation
Experience with working in Windows and Linux OS environments
Consultation experience with non-technical audiences on technical problems, work in a highly collaborative, team-oriented environment, and balance long- and short-term tasking
Ability to take poorly defined problems and convert them into questions for which practical quantitative solutions can be defined
Ability to exhibit flexibility, initiative, and innovation to succeed in an ambiguous and fast-paced environment to compose client deliverable quality

Requirements

Active Top Secret/SCI with Full Scope Polygraph security clearance. Individuals without an existing clearance cannot be accepted

Job Type: Full-time

Pay: $180,000.00 - $235,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Supplemental pay types:

Signing bonus

Application Question(s):

What active security clearance do you currently hold?

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Cloud Data Engineer - GCP | Terraform | Databricks | Snowflake - Clearance Req.,"Deloitte
","Rosslyn, VA",$83K - $129K (Glassdoor est.),4.0,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems.

By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

The team:

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Work you'll do:

The Cloud Data Engineer will design future-state, modern data architecture for transformation at the enterprise level using advanced cloud architectural principles. Using tools such as Snowflake and/or Databricks, they will also work with cutting-edge DevOps technologies, develop advanced analytics products, and apply data and statistical programming tools to enterprise data to advance and enable key mission outcomes within cloud environments (GCP, Terraform)

Required Qualifications:

Degree required in applicable subject
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
Ability to gain a government security clearance (US citizen with clean background)
2+ years of professional experience in GCP or Terraform
2+ years of experience with Databricks or Snowflake
2+ years in ETL, pipelining, warehousing and digital transformation
Ability to support a hybrid to fulltime schedule onsite in the DC area
Must have an active Secret, Top Secret or TS/SCI government clearance



Preferred Qualifications:

Previous Government Consulting and/or professional services experience
In depth understanding of AI protocols and standards
Understanding of technology risks and the ability to assess and mitigate them
Deep knowledge of a specific domain or industry, with a focus on applying NLP/LLM solutions in that context
Experience with debugging and troubleshooting software or solutions design issues
Proven ability to stay current with best practices and new technology solutions in the field
Ability to display both breadth and depth of knowledge regarding functional and technical issues
Experience presenting to clients or other decision makers to present and sell ideas to various audiences (technical and non-technical)




How you'll grow:

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

#LI-BL2",1850,Accounting & Tax,$10+ billion (USD),Financial Services,10000+ Employees,Company - Private,False
