State,Postings
California,1248
Texas,1123
Washington,1071
Virginia,798
Georgia,505
New York,452
Florida,451
Illinois,451
Pennsylvania,408
North Carolina,327
Ohio,304
Minnesota,250
Massachusetts,247
New Jersey,233
Arizona,228
Missouri,204
Tennessee,203
Colorado,200
Wisconsin,169
Maryland,153
Oregon,125
Connecticut,120
Michigan,116
South Carolina,115
Indiana,112
Utah,95
Nevada,88
Alabama,83
Kentucky,76
Arkansas,75
Kansas,67
Louisiana,63
Nebraska,63
Oklahoma,54
New Mexico,53
Delaware,52
Hawaii,49
Rhode Island,48
Idaho,42
Iowa,36
Maine,34
New Hampshire,29
Mississippi,27
Montana,27
Alaska,25
West Virginia,17
North Dakota,14
Wyoming,13
South Dakota,12
Vermont,10
