State,Postings
California,1254
Washington,1067
Texas,854
Florida,664
Virginia,550
Illinois,513
Georgia,449
New Jersey,435
Maryland,374
New York,359
North Carolina,300
Massachusetts,289
Ohio,264
Michigan,247
Pennsylvania,202
Tennessee,173
Arizona,160
Indiana,155
Missouri,147
Minnesota,140
Wisconsin,126
Connecticut,124
Colorado,99
Utah,87
Oregon,80
Louisiana,73
Oklahoma,67
Iowa,66
Kansas,59
Alabama,55
Arkansas,54
Nebraska,54
South Carolina,53
Kentucky,47
Delaware,44
Idaho,43
Nevada,43
New Mexico,38
Rhode Island,31
Hawaii,27
New Hampshire,26
Maine,20
Mississippi,17
Vermont,17
South Dakota,16
Alaska,12
West Virginia,12
North Dakota,9
Wyoming,9
Montana,8
