State,Postings
California,1141
Washington,666
Virginia,527
Texas,439
New York,363
Georgia,184
Illinois,180
Florida,175
Ohio,175
North Carolina,146
Maryland,144
Pennsylvania,138
Colorado,130
Massachusetts,125
New Jersey,83
Minnesota,77
Arizona,73
Missouri,73
Connecticut,72
Alabama,69
Tennessee,67
Michigan,60
Oregon,52
Nevada,36
New Mexico,35
Indiana,34
Wisconsin,32
Iowa,27
Utah,27
Nebraska,24
Kansas,23
Oklahoma,23
Kentucky,22
South Carolina,22
Mississippi,19
Delaware,18
Maine,18
Arkansas,17
Louisiana,17
New Hampshire,17
Idaho,15
Rhode Island,15
Montana,13
South Dakota,9
West Virginia,8
Alaska,6
North Dakota,6
Hawaii,5
Vermont,5
Wyoming,3
